Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2005-08-11,16.5777,16.8063,16.2884,16.3456,1229751.5321376
2005-08-12,16.3456,16.5777,16.3456,16.458,660049.6573246
2005-08-16,16.5142,16.8625,16.5142,16.6911,2190105.9320871
2005-08-17,16.8688,16.926,16.5714,16.7492,1582439.6630338
2005-08-18,16.6911,16.7492,16.3319,16.3319,413342.29030966
2005-08-19,16.3955,16.6276,16.3955,16.3955,2547466.9770082
2005-08-22,16.3319,16.6276,16.3319,16.5089,1992556.7826208
2005-08-23,16.5089,16.5714,16.3319,16.5089,1530930.6543807
2005-08-24,16.4517,16.6911,16.4517,16.4517,1001978.3981654
2005-08-25,16.4517,16.5714,16.4517,16.5089,1858405.1172715
2005-08-26,16.5089,16.6276,16.5089,16.5714,505274.54130962
2005-08-29,16.5089,16.6276,16.4517,16.6276,277484.86800038
2005-08-30,16.6276,17.1083,16.5714,16.9877,1535504.3323833
2005-08-31,17.1083,17.4048,16.926,17.1083,2715471.3574098
2005-09-01,17.1083,17.2217,16.9877,17.0449,2620339.2960039
2005-09-02,16.9877,17.1655,16.926,17.1655,4116571.5238984
2005-09-05,16.926,17.3423,16.926,17.2217,1404070.6314209
2005-09-06,17.1083,17.2852,17.1083,17.2852,1358297.464853
2005-09-07,17.2217,17.3423,16.9877,17.2217,1596487.0732926
2005-09-08,17.1655,17.2852,16.8688,16.926,1420723.5385746
2005-09-09,16.9877,17.2852,16.9877,17.2217,2437666.7288933
2005-09-12,17.3423,17.7586,17.3423,17.6388,2038440.2114356
2005-09-13,17.6388,17.8158,17.462,17.6388,1456141.9775333
2005-09-14,17.5826,17.7586,17.462,17.5826,1268567.1509242
2005-09-15,17.5191,18.1123,17.462,18.0561,2306617.8431726
2005-09-16,18.1123,18.7063,18.1123,18.7063,2864625.3040763
2005-09-19,18.6501,19.7166,18.4732,19.6032,3574434.1081953
2005-09-20,19.8999,20.1347,19.1861,19.3629,3552985.8959225
2005-09-21,19.1861,19.1861,18.5295,19.0038,1764800.1879856
2005-09-22,18.7698,19.1235,18.6501,18.7063,2192547.1382342
2005-09-23,18.6501,18.7063,18.2329,18.7063,863119.63749471
2005-09-26,18.3526,19.1235,18.3526,18.826,2002274.1944427
2005-09-27,18.9457,19.1235,18.5295,18.593,4383987.2435091
2005-09-28,18.7063,18.8886,18.0561,18.0561,2244461.911956
2005-09-29,18.1123,18.6501,18.1123,18.2955,760146.8277097
2005-09-30,18.6501,18.7063,18.4732,18.7063,2099188.0937589
2005-10-03,18.826,18.8886,18.3526,18.7063,3138052.5213897
2005-10-04,18.7063,18.826,18.5295,18.593,806563.92579962
2005-10-05,18.4107,18.6501,18.3526,18.593,1319392.5336464
2005-10-06,18.3526,18.5295,17.8158,17.8158,1338320.1509543
2005-10-07,17.5826,18.2329,17.5826,18.1123,1570006.49207
2005-10-10,17.9998,18.4107,17.9998,18.2955,462595.33339061
